Scheme Name	Net Asset Value
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	14.9381
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.1958
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.8709
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.6610
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.3367
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.1841
HDFC Corporate Bond Fund - Growth Option	33.4121
HDFC Corporate Bond Fund - Growth Option - Direct Plan	34.1767
HDFC Corporate Bond Fund - IDCW Option	20.2266
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.9411
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.6176
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.5176
HSBC Corporate Bond Fund - Direct Annual IDCW	12.3509
HSBC Corporate Bond Fund - Direct Growth	80.2932
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.5566
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.1838
HSBC Corporate Bond Fund - Regular Annual IDCW	12.0734
HSBC Corporate Bond Fund - Regular Growth	75.3019
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.1415
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	16.8593
HSBC Corporate Bond Fund -Regular Plan - Bonus	28.6037
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	32.2074
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2789
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.6415
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	30.7202
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.4328
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	11.3036
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1291.7816
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	3507.9294
Invesco India Corporate Bond Fund - Direct Plan - Growth	3506.8097
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1263.3457
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1178.9429
Invesco India Corporate Bond Fund - Regular Plan - Annual IDCW (Payout / Reinvestment)	2017.7777
Invesco India Corporate Bond Fund - Regular Plan - Discretionary IDCW (Payout / Reinvestment)	3432.1564
Invesco India Corporate Bond Fund - Regular Plan - Growth	3267.1488
Invesco India Corporate Bond Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment)	1872.6208
Invesco India Corporate Bond Fund - Regular Plan - Quarterly IDCW (Payout / Reinvestment)	1172.9504
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	4059.0054
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1074.1485
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3882.1681
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1264.6607
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan	13.3756
Mirae Asset Corporate Bond Fund Direct IDCW	13.3725
Mirae Asset Corporate Bond Fund Regular Growth	13.1024
Mirae Asset Corporate Bond Fund Regular IDCW	13.1024
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0959
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0959
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	20.5527
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option	11.7870
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option	12.3071
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option	17.1048
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus	46.3079
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option	64.8611
Nippon India Corporate Bond Fund - Growth Plan - Bonus Option	44.0747
